uniqid,isocntry,d11,d70,sd18a,sd18b,d1,d7,d9a_1,d9a_2,d9a_3,d9a_4,d9a_5,d9a_6,d9a_7,d9a_8,d9a_9,d9a_10,d9a_11,d9a_12,d9a_13,d10,d25,d40b_r,d63
20001569,AT,63,Fairly satisfied,Fairly satisfied,Fairly satisfied,Box 8,(Re-)Married: children this marriage,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,The middle class of society
20001570,AT,54,Very satisfied,Fairly satisfied,Fairly satisfied,Box 10 - right,Single liv w partner: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,The working class of society
20001571,AT,48,Fairly satisfied,Fairly satisfied,Very satisfied,Box 2,(Re-)Married: children prev marriage,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Large town,One,The middle class of society
20001572,AT,59,Fairly satisfied,Fairly satisfied,Fairly satisfied,Box 7,Widow: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Large town,None,The working class of society
20001573,AT,38,Very satisfied,Not at all satisfied,Fairly satisfied,Box 6,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,The working class of society
20001574,AT,21,Fairly satisfied,Fairly satisfied,Fairly satisfied,Box 10 - right,Single liv w partner: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,The lower middle class of society
20001575,AT,32,Very satisfied,Fairly satisfied,Fairly satisfied,Box 6,Single: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Small/middle town,None,The working class of society
20001576,AT,24,Very satisfied,Fairly satisfied,Not very satisfied,Box 5,Single: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Small/middle town,None,The working class of society
20001577,AT,38,Very satisfied,Not very satisfied,Not very satisfied,Box 5,(Re-)Married: children this marriage,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Bachelor or equivalent,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Small/middle town,None,The middle class of society
20001578,AT,18,Fairly satisfied,Fairly satisfied,Don't know (SPONTANEOUS),Box 5,Single: without children,Not mentioned,Not mentioned,Lower secondary education,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Small/middle town,None,The middle class of society
20001579,AT,39,Not very satisfied,Not very satisfied,Not very satisfied,Box 5,Single liv w partner: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Bachelor or equivalent,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Small/middle town,None,The middle class of society
20001580,AT,56,Fairly satisfied,Not at all satisfied,Not at all satisfied,Box 7,Divorced/Separated: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Large town,None,The lower middle class of society
20001581,AT,38,Fairly satisfied,Not at all satisfied,Fairly satisfied,Box 3,Divorced/Separated: with children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,The lower middle class of society
20001582,AT,52,Fairly satisfied,Fairly satisfied,Not very satisfied,Box 5,Single: without children,Not mentioned,Not mentioned,Not mentioned,Upper secondary education,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,The middle class of society
20001583,AT,63,Not very satisfied,Not very satisfied,Not at all satisfied,Refusal (SPONT.),Widow: without children,Not mentioned,Not mentioned,Lower secondary education,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,The working class of society
20001584,AT,59,Very satisfied,Not at all satisfied,Not at all satisfied,DK (SPONT.),(Re-)Married: children this marriage,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Rural area or village,None,The working class of society
20001585,AT,61,Fairly satisfied,Not at all satisfied,Not at all satisfied,Box 6,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Rural area or village,None,The working class of society
20001586,AT,53,Very satisfied,Not very satisfied,Not at all satisfied,Refusal (SPONT.),(Re-)Married: children this marriage,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Rural area or village,One,The working class of society
20001587,AT,76,Fairly satisfied,Not very satisfied,Not very satisfied,Box 5,Widow: with children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Rural area or village,None,The middle class of society
20001588,AT,78,Fairly satisfied,Fairly satisfied,Don't know (SPONTANEOUS),Box 6,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Upper secondary education,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Rural area or village,None,The lower middle class of society
20001589,AT,69,Fairly satisfied,Fairly satisfied,Not very satisfied,Box 6,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Rural area or village,None,The working class of society
20001590,AT,58,Fairly satisfied,Fairly satisfied,Fairly satisfied,Box 5,Divorced/Separated: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Rural area or village,None,The middle class of society
20001591,AT,57,Fairly satisfied,Fairly satisfied,Not very satisfied,Box 7,Single liv w partner: without children,Not mentioned,Not mentioned,Lower secondary education,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Rural area or village,None,The working class of society
20001592,AT,53,Very satisfied,Very satisfied,Fairly satisfied,Box 5,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Rural area or village,None,The middle class of society
20001593,AT,48,Fairly satisfied,Fairly satisfied,Fairly satisfied,Box 6,(Re-)Married: children this marriage,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Rural area or village,None,The middle class of society
20001594,AT,57,Very satisfied,Not very satisfied,Not very satisfied,Box 6,Divorced/Separated: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Rural area or village,None,The working class of society
20001595,AT,43,Very satisfied,Fairly satisfied,Fairly satisfied,Box 6,(Re-)Married: children this marriage,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Bachelor or equivalent,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Rural area or village,None,The middle class of society
20001596,AT,65,Fairly satisfied,Not very satisfied,Not at all satisfied,Box 7,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Upper secondary education,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Rural area or village,None,The working class of society
20001597,AT,47,Fairly satisfied,Not very satisfied,Not very satisfied,Box 7,Divorced/Separated: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Rural area or village,None,The working class of society
20001598,AT,80,Fairly satisfied,Not very satisfied,Not very satisfied,Box 6,Widow: without children,Not mentioned,Not mentioned,Lower secondary education,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Rural area or village,None,The working class of society
20001599,AT,63,Fairly satisfied,Very satisfied,Very satisfied,Box 6,Divorced/Separated: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Rural area or village,None,The middle class of society
20001600,AT,55,Fairly satisfied,Not very satisfied,Not very satisfied,Box 6,(Re-)Married: children this marriage,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Rural area or village,None,The middle class of society
20001601,AT,36,Fairly satisfied,Very satisfied,Fairly satisfied,Box 5,Single: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Rural area or village,None,The middle class of society
20001602,AT,78,Not very satisfied,Not very satisfied,Not very satisfied,Box 6,Widow: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Rural area or village,None,The working class of society
20001603,AT,46,Very satisfied,Fairly satisfied,Fairly satisfied,Box 5,(Re-)Married: children this marriage,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Rural area or village,None,The middle class of society
20001604,AT,18,Fairly satisfied,Fairly satisfied,Fairly satisfied,Box 5,Single: without children,Not mentioned,Not mentioned,Not mentioned,Upper secondary education,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Small/middle town,One,The middle class of society
20001605,AT,34,Fairly satisfied,Fairly satisfied,Fairly satisfied,Box 3,Single liv w partner: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Bachelor or equivalent,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Small/middle town,One,The middle class of society
20001606,AT,63,Very satisfied,Fairly satisfied,Fairly satisfied,Box 2,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,The lower middle class of society
20001607,AT,71,Fairly satisfied,Not very satisfied,Not at all satisfied,Box 7,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Rural area or village,None,The middle class of society
20001608,AT,68,Fairly satisfied,Fairly satisfied,Not at all satisfied,Box 6,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Upper secondary education,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Rural area or village,None,The working class of society
20001609,AT,49,Not very satisfied,Fairly satisfied,Fairly satisfied,DK (SPONT.),(Re-)Married: children this marriage,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Large town,None,The working class of society
20001610,AT,19,Very satisfied,Fairly satisfied,Fairly satisfied,Box 10 - right,Single: with children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Large town,None,The middle class of society
20001611,AT,47,Very satisfied,Fairly satisfied,Fairly satisfied,Box 10 - right,(Re-)Married: children this marriage,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,The lower middle class of society
20001612,AT,69,Fairly satisfied,Fairly satisfied,Not very satisfied,Box 4,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Small/middle town,None,The middle class of society
20001613,AT,81,Fairly satisfied,Fairly satisfied,Not very satisfied,Box 5,Widow: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Small/middle town,None,The middle class of society
20001614,AT,70,Fairly satisfied,Fairly satisfied,Not very satisfied,Box 5,Widow: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Small/middle town,None,The middle class of society
20001615,AT,71,Fairly satisfied,Fairly satisfied,Fairly satisfied,Box 5,Divorced/Separated: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Small/middle town,None,The middle class of society
20001616,AT,82,Fairly satisfied,Fairly satisfied,Fairly satisfied,Box 5,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Small/middle town,None,The middle class of society
20001617,AT,76,Fairly satisfied,Fairly satisfied,Don't know (SPONTANEOUS),Box 2,Widow: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,The upper middle class of society
20001618,AT,33,Very satisfied,Fairly satisfied,Fairly satisfied,Box 7,(Re-)Married: children this marriage,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Large town,One,The middle class of society
20001619,AT,68,Not very satisfied,Not at all satisfied,Fairly satisfied,Refusal (SPONT.),Widow: without children,Not mentioned,Not mentioned,Not mentioned,Upper secondary education,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,The lower middle class of society
20001620,AT,42,Not very satisfied,Not very satisfied,Not very satisfied,Box 6,(Re-)Married: children this/prev marriage,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,The working class of society
20001621,AT,57,Not very satisfied,Not very satisfied,Not very satisfied,Box 10 - right,Single: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Large town,None,The middle class of society
20001622,AT,42,Very satisfied,Fairly satisfied,Not very satisfied,Box 8,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,The middle class of society
20001623,AT,36,Fairly satisfied,Fairly satisfied,Fairly satisfied,Box 4,(Re-)Married: children this marriage,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Large town,Two,The middle class of society
20001624,AT,28,Fairly satisfied,Fairly satisfied,Fairly satisfied,Box 10 - right,Single liv w partner: childr this union,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Large town,One,The middle class of society
20001625,AT,63,Very satisfied,Fairly satisfied,Fairly satisfied,Box 5,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,The lower middle class of society
20001626,AT,23,Fairly satisfied,Not very satisfied,Not very satisfied,Box 10 - right,Single liv w partner: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,The working class of society
20001627,AT,50,Fairly satisfied,Fairly satisfied,Very satisfied,Box 6,Single: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Large town,None,The lower middle class of society
20001628,AT,67,Very satisfied,Fairly satisfied,Fairly satisfied,Box 10 - right,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,The middle class of society
20001629,AT,38,Very satisfied,Fairly satisfied,Fairly satisfied,Box 5,Single liv w partner: childr this union,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Large town,Two,The middle class of society
20001630,AT,25,Very satisfied,Very satisfied,Very satisfied,Box 1 - left,Single: without children,Not mentioned,Not mentioned,Not mentioned,Upper secondary education,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,The working class of society
20001631,AT,23,Very satisfied,Fairly satisfied,Fairly satisfied,DK (SPONT.),Single: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Large town,None,Refusal (SPONT.)
20001632,AT,39,Fairly satisfied,Very satisfied,Fairly satisfied,Box 6,(Re-)Married: children this marriage,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,One,The middle class of society
20001633,AT,68,Fairly satisfied,Very satisfied,Fairly satisfied,Box 6,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Large town,None,The middle class of society
20001634,AT,56,Fairly satisfied,Very satisfied,Fairly satisfied,Refusal (SPONT.),(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Upper secondary education,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,DK (SPONT.)
20001635,AT,59,Fairly satisfied,Fairly satisfied,Fairly satisfied,Box 7,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Large town,None,The middle class of society
20001636,AT,47,DK (SPONT.),Don't know (SPONTANEOUS),Don't know (SPONTANEOUS),DK (SPONT.),(Re-)Married: children this marriage,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,The working class of society
20001637,AT,42,Fairly satisfied,Not very satisfied,Not at all satisfied,Refusal (SPONT.),(Re-)Married: children this marriage,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,DK (SPONT.)
20001638,AT,63,Fairly satisfied,Fairly satisfied,Not very satisfied,DK (SPONT.),(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,The working class of society
20001639,AT,75,Fairly satisfied,Very satisfied,Fairly satisfied,Box 7,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Large town,None,The middle class of society
20001640,AT,18,Very satisfied,Not at all satisfied,Not at all satisfied,Refusal (SPONT.),Single: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Rural area or village,None,The working class of society
20001641,AT,19,Fairly satisfied,Not at all satisfied,Not at all satisfied,Refusal (SPONT.),Single: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Rural area or village,None,The working class of society
20001642,AT,64,Fairly satisfied,Not at all satisfied,Not at all satisfied,Box 6,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Rural area or village,None,The working class of society
20001643,AT,61,Fairly satisfied,Not at all satisfied,Not at all satisfied,Refusal (SPONT.),(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Rural area or village,None,The working class of society
20001644,AT,59,Very satisfied,Not at all satisfied,Not at all satisfied,Refusal (SPONT.),(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Rural area or village,None,The working class of society
20001645,AT,66,Fairly satisfied,Fairly satisfied,Not very satisfied,Box 7,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Rural area or village,None,The middle class of society
20001646,AT,57,Fairly satisfied,Not at all satisfied,Not at all satisfied,Box 6,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,The middle class of society
20001647,AT,39,Fairly satisfied,Not at all satisfied,Not at all satisfied,Box 4,(Re-)Married: children this marriage,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Large town,None,The working class of society
20001648,AT,52,Fairly satisfied,Fairly satisfied,Fairly satisfied,Box 6,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Rural area or village,None,The middle class of society
